time,close,US02Y · TVC: close
2025-07-30,4.372,3.943
2025-07-30,4.372,3.943
2025-07-31,4.382,3.961
2025-07-31,4.382,3.961
2025-08-01,4.216,3.68
2025-08-01,4.216,3.68
2025-08-04,4.194,3.679
2025-08-04,4.194,3.679
2025-08-05,4.208,3.726
2025-08-05,4.208,3.726
2025-08-06,4.232,3.714
2025-08-06,4.232,3.714
2025-08-07,4.248,3.724
2025-08-07,4.248,3.724
2025-08-08,4.285,3.762
2025-08-08,4.285,3.762
2025-08-11,4.279,3.766
2025-08-11,4.279,3.766
2025-08-12,4.289,3.733
2025-08-12,4.289,3.733
2025-08-13,4.236,3.679
2025-08-13,4.236,3.679
2025-08-14,4.289,3.735
2025-08-14,4.289,3.735
2025-08-15,4.322,3.755
2025-08-15,4.322,3.755
2025-08-18,4.335,3.769
2025-08-18,4.335,3.769
2025-08-19,4.31,3.754
2025-08-19,4.31,3.754
2025-08-20,4.291,3.752
2025-08-20,4.291,3.752
2025-08-21,4.328,3.79
2025-08-21,4.328,3.79
2025-08-22,4.256,3.698
2025-08-22,4.256,3.698
2025-08-25,4.277,3.724
2025-08-25,4.277,3.724
2025-08-26,4.265,3.683
2025-08-26,4.265,3.683
2025-08-27,4.238,3.615
2025-08-27,4.238,3.615
2025-08-28,4.205,3.633
2025-08-28,4.205,3.633
2025-08-29,4.232,3.621
2025-08-29,4.232,3.621
2025-09-02,4.265,3.641
2025-09-02,4.265,3.641
2025-09-03,4.217,3.619
2025-09-03,4.217,3.619
2025-09-04,4.161,3.592
2025-09-04,4.161,3.592
2025-09-05,4.076,3.509
2025-09-05,4.076,3.509
2025-09-08,4.042,3.49
2025-09-08,4.042,3.49
2025-09-09,4.086,3.556
2025-09-09,4.086,3.556
2025-09-10,4.045,3.544
2025-09-10,4.045,3.544
2025-09-11,4.026,3.544
2025-09-11,4.026,3.544
2025-09-12,4.068,3.562
2025-09-12,4.068,3.562
2025-09-15,4.038,3.537
2025-09-15,4.038,3.537
2025-09-16,4.032,3.51
2025-09-16,4.032,3.51
2025-09-17,4.087,3.553
2025-09-17,4.087,3.553
2025-09-18,4.11,3.572
2025-09-18,4.11,3.572
2025-09-19,4.133,3.574
2025-09-19,4.133,3.574
2025-09-22,4.147,3.605
2025-09-22,4.147,3.605
2025-09-23,4.106,3.588
2025-09-23,4.106,3.588
2025-09-24,4.149,3.606
2025-09-24,4.149,3.606
2025-09-25,4.176,3.661
2025-09-25,4.176,3.661
2025-09-26,4.174,3.643
2025-09-26,4.174,3.643
2025-09-29,4.141,3.625
2025-09-29,4.141,3.625
2025-09-30,4.154,3.617
2025-09-30,4.154,3.617
2025-10-01,4.1,3.535
2025-10-01,4.1,3.535
2025-10-02,4.085,3.541
2025-10-02,4.085,3.541
2025-10-03,4.121,3.576
2025-10-03,4.121,3.576
2025-10-06,4.158,3.592
2025-10-06,4.158,3.592
2025-10-07,4.125,3.57
2025-10-07,4.125,3.57
2025-10-08,4.123,3.584
2025-10-08,4.123,3.584
2025-10-09,4.142,3.599
2025-10-09,4.142,3.599
2025-10-10,4.059,3.531
2025-10-10,4.059,3.531
2025-10-14,4.032,3.485
2025-10-14,4.032,3.485
2025-10-15,4.028,3.497
2025-10-15,4.028,3.497
2025-10-16,3.975,3.422
2025-10-16,3.975,3.422
2025-10-17,4.011,3.464
2025-10-17,4.011,3.464
2025-10-20,3.982,3.459
2025-10-20,3.982,3.459
2025-10-21,3.965,3.455
2025-10-21,3.965,3.455
2025-10-22,3.953,3.447
2025-10-22,3.953,3.447
2025-10-23,4.003,3.493
2025-10-23,4.003,3.493
2025-10-24,4.003,3.484
2025-10-24,4.003,3.484
2025-10-27,3.987,3.497
2025-10-27,3.987,3.497
2025-10-28,3.978,3.49
2025-10-28,3.978,3.49
2025-10-29,4.078,3.596
2025-10-29,4.078,3.596
2025-10-30,4.097,3.61
2025-10-30,4.097,3.61
2025-10-31,4.081,3.58
2025-10-31,4.081,3.58
2025-11-03,4.108,3.605
2025-11-03,4.108,3.605
2025-11-04,4.083,3.576
2025-11-04,4.083,3.576
2025-11-05,4.161,3.634
2025-11-05,4.161,3.634
2025-11-06,4.087,3.557
2025-11-06,4.087,3.557
2025-11-07,4.093,3.56
2025-11-07,4.093,3.56
2025-11-10,4.12,3.595
2025-11-10,4.12,3.595
2025-11-12,4.065,3.566
2025-11-12,4.065,3.566
2025-11-13,4.115,3.589
2025-11-13,4.115,3.589
2025-11-14,4.148,3.608
2025-11-14,4.148,3.608
2025-11-17,4.139,3.612
2025-11-17,4.139,3.612
2025-11-18,4.117,3.577
2025-11-18,4.117,3.577
2025-11-19,4.139,3.594
2025-11-19,4.139,3.594
2025-11-20,4.086,3.537
2025-11-20,4.086,3.537
2025-11-21,4.067,3.505
2025-11-21,4.067,3.505
2025-11-24,4.031,3.501
2025-11-24,4.031,3.501
