date,spread_bp,ten_y,two_y
2025-10-27,49.0,3.987,3.497
2025-10-28,48.8,3.978,3.49
2025-10-29,48.2,4.078,3.596
2025-10-30,48.7,4.097,3.61
2025-10-31,50.1,4.081,3.58
2025-11-03,50.3,4.108,3.605
2025-11-04,50.7,4.083,3.576
2025-11-05,52.7,4.161,3.634
2025-11-06,53.0,4.087,3.557
2025-11-07,53.3,4.093,3.56
2025-11-10,52.5,4.12,3.595
2025-11-12,49.9,4.065,3.566
2025-11-13,52.6,4.115,3.589
2025-11-14,54.0,4.148,3.608
2025-11-17,52.7,4.139,3.612
2025-11-18,54.0,4.117,3.577
2025-11-19,54.5,4.139,3.594
2025-11-20,54.9,4.086,3.537
2025-11-21,56.2,4.067,3.505
2025-11-24,53.0,4.031,3.501
2025-11-25,54.3,4.0,3.457
2025-11-26,51.5,3.992,3.477
2025-11-28,52.0,4.017,3.497
2025-12-01,55.8,4.09,3.532
2025-12-02,57.8,4.09,3.512
2025-12-03,57.7,4.063,3.486
2025-12-04,57.5,4.1,3.525
2025-12-05,57.5,4.139,3.564
2025-12-08,59.1,4.17,3.579
2025-12-09,57.5,4.19,3.615
2025-12-10,61.3,4.155,3.542
2025-12-11,61.5,4.153,3.538
2025-12-12,66.2,4.186,3.524
2025-12-15,67.0,4.178,3.508
2025-12-16,65.8,4.147,3.489
2025-12-17,66.8,4.153,3.485
2025-12-18,66.0,4.124,3.464
2025-12-19,66.4,4.149,3.485
2025-12-22,65.8,4.165,3.507
2025-12-23,63.3,4.167,3.534
2025-12-24,62.5,4.135,3.51
2025-12-26,65.1,4.132,3.481
2025-12-29,65.5,4.112,3.457
2025-12-30,67.4,4.126,3.452
2025-12-31,68.8,4.163,3.475
2026-01-02,72.0,4.195,3.475
2026-01-05,70.2,4.155,3.453
2026-01-06,70.4,4.169,3.465
2026-01-07,67.8,4.15,3.472
2026-01-08,68.1,4.167,3.486
2026-01-09,63.1,4.169,3.538
2026-01-12,64.6,4.185,3.539
2026-01-13,64.5,4.175,3.53
2026-01-14,62.4,4.138,3.514
2026-01-15,60.3,4.171,3.568
2026-01-16,63.3,4.227,3.594
2026-01-20,69.6,4.295,3.599
2026-01-21,65.6,4.247,3.591
2026-01-22,63.9,4.251,3.612
2026-01-23,63.3,4.231,3.598
2026-01-26,62.1,4.213,3.592
2026-01-27,67.0,4.245,3.575
2026-01-28,67.6,4.247,3.571
2026-01-29,67.4,4.233,3.559
2026-01-30,71.5,4.239,3.524
2026-02-02,70.7,4.281,3.574
2026-02-03,69.5,4.267,3.572
2026-02-04,72.3,4.278,3.555
2026-02-05,72.7,4.188,3.461
2026-02-06,71.3,4.208,3.495
2026-02-09,71.3,4.2,3.487
2026-02-10,68.9,4.141,3.452
2026-02-11,66.2,4.174,3.512
2026-02-12,64.2,4.1,3.458
2026-02-13,64.0,4.05,3.41
2026-02-17,62.3,4.062,3.439
2026-02-18,61.7,4.083,3.466
2026-02-19,60.7,4.071,3.464
2026-02-20,60.4,4.086,3.482
2026-02-23,59.1,4.031,3.44
2026-02-24,57.2,4.037,3.465
2026-02-25,58.1,4.058,3.477
2026-02-26,57.6,4.01,3.434
2026-02-27,56.6,3.949,3.383
2026-03-02,55.9,4.036,3.477
2026-03-03,55.1,4.065,3.514
2026-03-04,55.1,4.1,3.549
2026-03-05,55.7,4.14,3.583
2026-03-06,58.2,4.138,3.556
2026-03-09,55.2,4.102,3.55
2026-03-10,56.4,4.156,3.592
2026-03-11,57.5,4.228,3.653
2026-03-12,52.2,4.261,3.739
2026-03-13,55.4,4.283,3.729
2026-03-16,54.7,4.22,3.673
2026-03-17,52.2,4.2,3.678
2026-03-18,48.6,4.265,3.779
2026-03-19,45.4,4.249,3.795
2026-03-20,47.7,4.384,3.907
2026-03-23,49.4,4.35,3.856
2026-03-24,46.4,4.368,3.904
2026-03-25,44.5,4.332,3.887
2026-03-26,43.0,4.412,3.982
2026-03-27,51.4,4.428,3.914
2026-03-30,51.4,4.35,3.836
2026-03-31,52.8,4.319,3.791
2026-04-01,51.6,4.321,3.805
2026-04-02,50.4,4.309,3.805
2026-04-06,48.9,4.339,3.85
2026-04-07,50.1,4.301,3.8
2026-04-08,50.3,4.295,3.792
2026-04-09,50.4,4.283,3.779
2026-04-10,51.8,4.317,3.799
2026-04-13,51.7,4.293,3.776
2026-04-14,50.3,4.248,3.745
2026-04-15,52.0,4.281,3.761
2026-04-16,53.5,4.315,3.78
2026-04-17,54.2,4.248,3.706
2026-04-20,53.1,4.258,3.727
2026-04-21,51.4,4.299,3.785
2026-04-22,50.1,4.305,3.804
2026-04-23,49.3,4.325,3.832
2026-04-24,52.1,4.306,3.785
2026-04-27,54.1,4.34,3.799
2026-04-28,50.8,4.35,3.842
2026-04-29,48.3,4.43,3.947
2026-04-30,50.7,4.374,3.867
2026-05-01,49.2,4.372,3.88
2026-05-04,48.6,4.432,3.946
2026-05-05,48.0,4.426,3.946
2026-05-06,48.2,4.352,3.87
2026-05-07,47.3,4.384,3.911
2026-05-08,47.1,4.36,3.889
2026-05-11,46.1,4.412,3.951
2026-05-12,46.9,4.463,3.994
2026-05-13,49.0,4.467,3.977
2026-05-14,46.8,4.483,4.015
2026-05-15,51.8,4.597,4.079
2026-05-18,53.9,4.585,4.046
2026-05-19,54.5,4.667,4.122
2026-05-20,52.8,4.585,4.057
2026-05-21,49.3,4.572,4.079
2026-05-22,43.3,4.556,4.123
2026-05-26,45.5,4.491,4.036
2026-05-27,44.4,4.483,4.039
2026-05-28,42.6,4.453,4.027
2026-05-29,43.5,4.437,4.002
2026-06-01,42.0,4.453,4.033
2026-06-02,40.8,4.453,4.045
2026-06-03,40.9,4.493,4.084
2026-06-04,43.0,4.475,4.045
2026-06-05,38.7,4.532,4.145
2026-06-08,40.2,4.568,4.166
2026-06-09,39.6,4.518,4.122
2026-06-10,40.9,4.554,4.145
2026-06-11,39.7,4.459,4.062
2026-06-12,39.6,4.483,4.087
2026-06-15,40.3,4.473,4.07
2026-06-16,38.5,4.439,4.054
2026-06-17,30.1,4.487,4.186
2026-06-18,27.6,4.455,4.179
2026-06-22,27.9,4.509,4.23
2026-06-23,29.7,4.485,4.188
